AAL,Aalborg Airport
ABZ,Aberdeen Dyce Airport
ALC,Alicante International Airport
AMS,Amsterdam Airport Schiphol
BCN,Barcelona International Airport
BFS,Belfast International Airport
BEG,Belgrade Nikola Tesla Airport
BGO,Bergen Airport Flesland
TXL,Berlin-Tegel Airport
BLL,Billund Airport
BHX,Birmingham International Airport
BLQ,Bologna Guglielmo Marconi Airport
KBP,Boryspil International Airport
BOH,Bournemouth Airport
BRE,Bremen Airport
BRS,Bristol Airport
BRU,Brussels Airport
BUD,Budapest Liszt Ferenc International Airport
BOJ,Burgas Airport
CAG,Cagliari Elmas Airport
CWL,Cardiff International Airport
CTA,Catania-Fontanarossa Airport
CDG,Charles de Gaulle International Airport
CGN,Cologne Bonn Airport
CPH,Copenhagen Kastrup Airport
ORK,Cork Airport
DME,Domodedovo International Airport
DTM,Dortmund Airport
DRS,Dresden Airport
DUB,Dublin Airport
EMA,East Midlands Airport
EDI,Edinburgh Airport
EIN,Eindhoven Airport
ATH,Eleftherios Venizelos International Airport
EXT,Exeter International Airport
FAO,Faro Airport
FRA,Frankfurt am Main Airport
GVA,Geneva Cointrin International Airport
GOA,Genoa Cristoforo Colombo Airport
BHD,George Best Belfast City Airport
GLA,Glasgow International Airport
GOT,Gothenburg-Landvetter Airport
LPA,Gran Canaria Airport
GRV,Grozny North Airport
HAM,Hamburg Airport
HAJ,Hannover Airport
HEL,Helsinki Vantaa Airport
HER,Heraklion International Nikos Kazantzakis Airport
LIS,Humberto Delgado Airport (Lisbon Portela Airport)
BGY,Il Caravaggio International Airport
FKB,Karlsruhe Baden-Baden Airport
KTW,Katowice International Airport
KZN,Kazan International Airport
HRK,Kharkiv International Airport
KUF,Kurumoch International Airport
SPC,La Palma Airport
LBA,Leeds Bradford Airport
LEJ,Leipzig/Halle Airport
TLL,Lennart Meri Tallinn Airport
LPL,Liverpool John Lennon Airport
LHR,London Heathrow Airport
LUX,Luxembourg-Findel International Airport
MXP,Malpensa International Airport
MLA,Malta International Airport
MAN,Manchester Airport
MRS,Marseille Provence Airport
LIN,Milano Linate Airport
MSQ,Minsk National Airport
WMI,Modlin Airport
MUC,Munich Airport
NCL,Newcastle Airport
NWI,Norwich International Airport
NUE,Nuremberg Airport
ODS,Odessa International Airport
OSL,Oslo Gardermoen Airport
PMI,Palma De Mallorca Airport
ORY,Paris-Orly Airport
PSA,Pisa International Airport
ROV,Platov International Airport
TGD,Podgorica Airport
LED,Pulkovo Airport
AKT,RAF Akrotiri
BZZ,RAF Brize Norton
FFD,RAF Fairford
LKZ,RAF Lakenheath
MHZ,RAF Mildenhall
RMS,Ramstein Air Base
RIX,Riga International Airport
DSA,Robin Hood Doncaster Sheffield Airport
SCQ,Santiago de Compostela Airport
SJJ,Sarajevo International Airport
SNN,Shannon Airport
SVO,Sheremetyevo International Airport
SIP,Simferopol International Airport
SKP,Skopje Alexander the Great Airport
AER,Sochi International Airport
SOF,Sofia Airport
SOU,Southampton Airport
SVG,Stavanger Airport Sola
ARN,Stockholm-Arlanda Airport
STR,Stuttgart Airport
TFN,Tenerife Norte Airport
TFS,Tenerife South Airport
SKG,Thessaloniki Macedonia International Airport
TIA,Tirana International Airport Mother Teresa
TLS,Toulouse-Blagnac Airport
TSF,Treviso-Sant'Angelo Airport
TRD,Trondheim Airport VÃ¦rnes
TRN,Turin Airport
UFA,Ufa International Airport
VAR,Varna Airport
VCE,Venice Marco Polo Airport
VRN,Verona Villafranca Airport
VIE,Vienna International Airport
VNO,Vilnius International Airport
VKO,Vnukovo International Airport
WAW,Warsaw Chopin Airport
KJA,Yemelyanovo Airport
ZAG,Zagreb Airport
ZIA,Zhukovsky International Airport
